LAT,LON,YEAR,MO,DY,ALLSKY_SFC_LW_DWN,KT
41.39021,2.15401,2015,1,1,6.23,0.61
41.39021,2.15401,2015,1,2,6.49,0.65
41.39021,2.15401,2015,1,3,6.79,0.63
41.39021,2.15401,2015,1,4,6.61,0.62
41.39021,2.15401,2015,1,5,6.41,0.64
41.39021,2.15401,2015,1,6,6.71,0.62
41.39021,2.15401,2015,1,7,7.16,0.37
41.39021,2.15401,2015,1,8,6.37,0.63
41.39021,2.15401,2015,1,9,6.63,0.62
41.39021,2.15401,2015,1,10,6.94,0.59
41.39021,2.15401,2015,1,11,6.73,0.55
41.39021,2.15401,2015,1,12,6.17,0.64
41.39021,2.15401,2015,1,13,6.96,0.6
41.39021,2.15401,2015,1,14,6.71,0.62
41.39021,2.15401,2015,1,15,6.83,0.62
41.39021,2.15401,2015,1,16,7.42,0.17
41.39021,2.15401,2015,1,17,6.43,0.6
41.39021,2.15401,2015,1,18,6.87,0.55
41.39021,2.15401,2015,1,19,7.97,0.19
41.39021,2.15401,2015,1,20,7.39,0.43
41.39021,2.15401,2015,1,21,6.97,0.43
41.39021,2.15401,2015,1,22,6.18,0.64
41.39021,2.15401,2015,1,23,6.02,0.63
41.39021,2.15401,2015,1,24,5.96,0.64
41.39021,2.15401,2015,1,25,5.86,0.64
41.39021,2.15401,2015,1,26,7.32,0.3
41.39021,2.15401,2015,1,27,6.88,0.36
41.39021,2.15401,2015,1,28,6.84,0.54
41.39021,2.15401,2015,1,29,7.01,0.56
41.39021,2.15401,2015,1,30,7.55,0.36
41.39021,2.15401,2015,1,31,6.69,0.59
41.39021,2.15401,2015,2,1,5.94,0.58
41.39021,2.15401,2015,2,2,6.5,0.54
41.39021,2.15401,2015,2,3,7.16,0.09
41.39021,2.15401,2015,2,4,7.21,0.16
41.39021,2.15401,2015,2,5,6.61,0.45
41.39021,2.15401,2015,2,6,6.41,0.58
41.39021,2.15401,2015,2,7,6.57,0.61
41.39021,2.15401,2015,2,8,6.23,0.66
41.39021,2.15401,2015,2,9,5.82,0.68
41.39021,2.15401,2015,2,10,5.95,0.68
41.39021,2.15401,2015,2,11,6.64,0.52
41.39021,2.15401,2015,2,12,6.92,0.62
41.39021,2.15401,2015,2,13,7.03,0.63
41.39021,2.15401,2015,2,14,7.16,0.29
41.39021,2.15401,2015,2,15,7.49,0.33
41.39021,2.15401,2015,2,16,6.59,0.69
41.39021,2.15401,2015,2,17,7.89,0.3
41.39021,2.15401,2015,2,18,6.78,0.64
41.39021,2.15401,2015,2,19,6.29,0.67
41.39021,2.15401,2015,2,20,6.42,0.68
41.39021,2.15401,2015,2,21,7.47,0.16
41.39021,2.15401,2015,2,22,5.71,0.73
41.39021,2.15401,2015,2,23,7.42,0.39
41.39021,2.15401,2015,2,24,6.3,0.69
41.39021,2.15401,2015,2,25,6.81,0.41
41.39021,2.15401,2015,2,26,7.83,0.26
41.39021,2.15401,2015,2,27,6.85,0.46
41.39021,2.15401,2015,2,28,6.62,0.7
41.39021,2.15401,2015,3,1,8.02,0.55
41.39021,2.15401,2015,3,2,8.01,0.51
41.39021,2.15401,2015,3,3,7.71,0.55
41.39021,2.15401,2015,3,4,7.53,0.09
41.39021,2.15401,2015,3,5,5.72,0.72
